num	d1	d2	d3	x
1.0	130.0	216.0	300.0	-991.0
2.0	128.0	216.0	300.0	-800.0
3.0	126.0	216.0	270.0	-800.0
4.0	125.0	216.0	270.0	-591.0
5.0	125.0	199.0	270.0	-591.0
6.0	124.0	199.0	270.0	-386.0
7.0	103.0	199.0	270.0	-341.0
8.0	101.0	199.0	270.0	-26.0
9.0	100.0	199.0	270.0	0.0
10.0	100.0	199.0	270.0	20.0
11.0	100.0	199.0	220.0	520.0
12.0	100.0	199.0	199.0	520.0
13.0	100.0	199.0	199.0	620.0
13.0	100.0	122.0	122.67	3915.34
14.0	100.0	130.0	130.0	3919.0
15.0	100.0	130.0	130.0	3944.0
